,ord,cls,desc,pounds,size,type
0,#,Emoji,number_sign,1.1 [1] (#️),1,data
1,*,Emoji,asterisk,1.1 [1] (*️),1,data
2,0,Emoji,digit_zero_digit_nine_0,1.1 [10] (0️..9️),1,data
3,1,Emoji,digit_zero_digit_nine_1,1.1 [10] (0️..9️),1,data
4,2,Emoji,digit_zero_digit_nine_2,1.1 [10] (0️..9️),1,data
5,3,Emoji,digit_zero_digit_nine_3,1.1 [10] (0️..9️),1,data
6,4,Emoji,digit_zero_digit_nine_4,1.1 [10] (0️..9️),1,data
7,5,Emoji,digit_zero_digit_nine_5,1.1 [10] (0️..9️),1,data
8,6,Emoji,digit_zero_digit_nine_6,1.1 [10] (0️..9️),1,data
9,7,Emoji,digit_zero_digit_nine_7,1.1 [10] (0️..9️),1,data
10,8,Emoji,digit_zero_digit_nine_8,1.1 [10] (0️..9️),1,data
11,9,Emoji,digit_zero_digit_nine_9,1.1 [10] (0️..9️),1,data
12,©,Emoji,copyright,1.1 [1] (©️),1,data
13,®,Emoji,registered,1.1 [1] (®️),1,data
14,‼,Emoji,double_exclamation_mark,1.1 [1] (‼️),1,data
15,⁉,Emoji,exclamation_question_mark,3.0 [1] (⁉️),1,data
16,™,Emoji,trade_mark,1.1 [1] (™️),1,data
17,ℹ,Emoji,information,3.0 [1] (ℹ️),1,data
18,↔,Emoji,left_right_arrow_down_left_arrow_0,1.1 [6] (↔️..↙️),1,data
19,↕,Emoji,left_right_arrow_down_left_arrow_1,1.1 [6] (↔️..↙️),1,data
20,↖,Emoji,left_right_arrow_down_left_arrow_2,1.1 [6] (↔️..↙️),1,data
21,↗,Emoji,left_right_arrow_down_left_arrow_3,1.1 [6] (↔️..↙️),1,data
22,↘,Emoji,left_right_arrow_down_left_arrow_4,1.1 [6] (↔️..↙️),1,data
23,↙,Emoji,left_right_arrow_down_left_arrow_5,1.1 [6] (↔️..↙️),1,data
24,↩,Emoji,right_arrow_curving_left_left_arrow_curving_right_0,1.1 [2] (↩️..↪️),1,data
25,↪,Emoji,right_arrow_curving_left_left_arrow_curving_right_1,1.1 [2] (↩️..↪️),1,data
26,⌚,Emoji,watch_hourglass_done_0,1.1 [2] (⌚..⌛),1,data
27,⌛,Emoji,watch_hourglass_done_1,1.1 [2] (⌚..⌛),1,data
28,⌨,Emoji,keyboard,1.1 [1] (⌨️),1,data
29,⏏,Emoji,eject_button,4.0 [1] (⏏️),1,data
30,⏩,Emoji,fast_forward_button_hourglass_not_done_0,6.0 [11] (⏩..⏳),1,data
31,⏪,Emoji,fast_forward_button_hourglass_not_done_1,6.0 [11] (⏩..⏳),1,data
32,⏫,Emoji,fast_forward_button_hourglass_not_done_2,6.0 [11] (⏩..⏳),1,data
33,⏬,Emoji,fast_forward_button_hourglass_not_done_3,6.0 [11] (⏩..⏳),1,data
34,⏭,Emoji,fast_forward_button_hourglass_not_done_4,6.0 [11] (⏩..⏳),1,data
35,⏮,Emoji,fast_forward_button_hourglass_not_done_5,6.0 [11] (⏩..⏳),1,data
36,⏯,Emoji,fast_forward_button_hourglass_not_done_6,6.0 [11] (⏩..⏳),1,data
37,⏰,Emoji,fast_forward_button_hourglass_not_done_7,6.0 [11] (⏩..⏳),1,data
38,⏱,Emoji,fast_forward_button_hourglass_not_done_8,6.0 [11] (⏩..⏳),1,data
39,⏲,Emoji,fast_forward_button_hourglass_not_done_9,6.0 [11] (⏩..⏳),1,data
40,⏳,Emoji,fast_forward_button_hourglass_not_done_10,6.0 [11] (⏩..⏳),1,data
41,⏸,Emoji,pause_button_record_button_0,7.0 [3] (⏸️..⏺️),1,data
42,⏹,Emoji,pause_button_record_button_1,7.0 [3] (⏸️..⏺️),1,data
43,⏺,Emoji,pause_button_record_button_2,7.0 [3] (⏸️..⏺️),1,data
44,Ⓜ,Emoji,circled_m,1.1 [1] (Ⓜ️),1,data
45,▪,Emoji,black_small_square_white_small_square_0,1.1 [2] (▪️..▫️),1,data
46,▫,Emoji,black_small_square_white_small_square_1,1.1 [2] (▪️..▫️),1,data
47,▶,Emoji,play_button,1.1 [1] (▶️),1,data
48,◀,Emoji,reverse_button,1.1 [1] (◀️),1,data
49,◻,Emoji,white_medium_square_black_medium_small_square_0,3.2 [4] (◻️..◾),1,data
50,◼,Emoji,white_medium_square_black_medium_small_square_1,3.2 [4] (◻️..◾),1,data
51,◽,Emoji,white_medium_square_black_medium_small_square_2,3.2 [4] (◻️..◾),1,data
52,◾,Emoji,white_medium_square_black_medium_small_square_3,3.2 [4] (◻️..◾),1,data
53,☀,Emoji,sun_comet_0,1.1 [5] (☀️..☄️),1,data
54,☁,Emoji,sun_comet_1,1.1 [5] (☀️..☄️),1,data
55,☂,Emoji,sun_comet_2,1.1 [5] (☀️..☄️),1,data
56,☃,Emoji,sun_comet_3,1.1 [5] (☀️..☄️),1,data
57,☄,Emoji,sun_comet_4,1.1 [5] (☀️..☄️),1,data
58,☎,Emoji,telephone,1.1 [1] (☎️),1,data
59,☑,Emoji,check_box_with_check,1.1 [1] (☑️),1,data
60,☔,Emoji,umbrella_with_rain_drops_hot_beverage_0,4.0 [2] (☔..☕),1,data
61,☕,Emoji,umbrella_with_rain_drops_hot_beverage_1,4.0 [2] (☔..☕),1,data
62,☘,Emoji,shamrock,4.1 [1] (☘️),1,data
63,☝,Emoji,index_pointing_up,1.1 [1] (☝️),1,data
64,☠,Emoji,skull_and_crossbones,1.1 [1] (☠️),1,data
65,☢,Emoji,radioactive_biohazard_0,1.1 [2] (☢️..☣️),1,data
66,☣,Emoji,radioactive_biohazard_1,1.1 [2] (☢️..☣️),1,data
67,☦,Emoji,orthodox_cross,1.1 [1] (☦️),1,data
68,☪,Emoji,star_and_crescent,1.1 [1] (☪️),1,data
69,☮,Emoji,peace_symbol_yin_yang_0,1.1 [2] (☮️..☯️),1,data
70,☯,Emoji,peace_symbol_yin_yang_1,1.1 [2] (☮️..☯️),1,data
